655800,181600,660200,182100
655600,194700,660000,195000
654428,203091,654824,203346
655500,203200,655910,203610
655900,204500,655500,204800
655730,205897,655436,210782
653762,210187,653340,210531
662193,164190,662625,164294
661576,164822,661861,164092
660800,173200,661150,172600
662000,174200,662400,174700
662700,173600,662700,172600
661400,174500,661000,174300
661500,173000,661900,173000
661500,171900,661100,172200
661500,181800,661800,182300
662600,182200,663000,182200
662000,182700,662400,182700
662700,180700,662400,181400
660500,182100,660900,182500
662200,184800,662540,185420
661900,194700,662315,194625
662150,193747,661750,193620
661500,193600,661350,194612
662000,190300,662400,190500
660500,194700,660737,193860
661100,191000,661500,190900
660000,195400,660300,194800
662000,192400,662000,191400
660500,195400,660900,195100
661100,203800,661500,203900
662300,204700,662700,204800
661300,200000,661700,200000
662000,201800,662400,202000
662940,210297,662600,210800
662450,211560,662834,211986
663000,213620,663012,214711
662400,212500,662004,212004
662000,210300,661600,210300
661700,211700,661400,210900
660900,211500,660488,211421
664391,151112,664809,151072
665591,151184,665823,150288
664388,155011,664400,154015
664102,153900,663785,153366
664799,155531,665207,155331
663505,150609,663390,151608
663518,152701,663826,152100
664478,152398,664319,153338
663025,152414,663206,153303
665510,152777,665636,153728
664537,164730,664971,164585
665507,165030,665519,163919
664509,163012,664517,161977
665017,161512,664766,160685
670001,165002,670004,163940
664422,165013,664012,164749
664084,160241,664520,160185
664001,165693,663695,165044
664541,163970,664962,163592
663942,162558,664005,161461
664100,171700,663700,171800
665500,180000,665100,180000
665000,171800,665400,171800
664500,172400,664500,171200
664500,170300,664819,170936
664900,182900,665000,181900
665900,182800,665500,182800
663800,180000,663900,180900
664200,183100,664500,182400
663500,182400,663900,182500
663000,183600,663400,183300
664200,182100,664500,181500
664659,183408,665065,183358
663500,180600,663700,181500
665700,184800,670000,185100
664400,193100,664700,193800
663500,194000,663900,193500
663900,194800,664200,194400
664100,191300,663700,191700
663000,192400,663400,192200
664500,192100,664900,192200
664500,195700,664700,194800
663400,201300,663700,200400
663900,200000,664300,200000
664800,204800,665100,204000
665900,205000,665900,204100
665600,203000,665800,202200
665500,205500,665800,210000
663500,202700,663700,201700
664000,201800,664200,200900
663000,204200,663400,204300
664000,212700,664000,211700
665300,211000,665400,205800
664400,211300,664800,210800
664800,212700,664900,211600
663600,215500,663700,214500
663500,213300,663900,212700
665500,213900,665600,212900
664500,214200,664700,215100
665300,215500,665500,214600
664000,210600,664300,210000
665300,220700,665600,221300
665900,221500,665900,222600
665700,222600,665400,223400
665700,224900,665400,225800
665600,224100,665900,223500
665200,222500,665100,221500
664500,223600,664800,224300
665000,224200,665300,223500
663500,222300,663900,222400
664400,220800,664000,220600
664500,225700,664900,225300
670604,165401,670605,164302
670000,172600,670400,172300
665900,183000,670400,183000
670000,184800,670400,184500
671100,182900,671400,182200
670400,182200,670000,182100
671900,194400,671600,194900
670900,194900,670600,195600
671000,192400,670700,193200
671800,204600,671400,204000
671000,204600,670700,205400
670600,204000,670300,204900
672000,203300,671800,204300
670500,200900,670200,201700
670900,202800,671000,201800
670200,203400,670500,202700
670500,212700,670200,213600
670200,211300,670600,211000
670600,214300,671000,213900
